frenchSound;root;folder;filename
salut;French;Clase1;salut.mp3
chocolat;French;Clase1;chocolat.mp3
hôpital;French;Clase1;hôpital.mp3
urgent;French;Clase1;urgent.mp3
un animal;French;Clase1;un animal.mp3
c'est;French;Clase1;c'est.mp3
c'est un animal;French;Clase1;c'est un animal.mp3
difficile;French;Clase1;difficile.mp3
c'est difficile;French;Clase1;c'est difficile.mp3
impossible;French;Clase1;impossible.mp3
c'est impossible;French;Clase1;c'est impossible.mp3
important;French;Clase1;important.mp3
c'est important;French;Clase1;c'est important.mp3
moi;French;Clase1;moi.mp3
toi;French;Clase1;toi.mp3
pour;French;Clase1;pour.mp3
pour moi;French;Clase1;pour moi.mp3
pour toi;French;Clase1;pour toi.mp3
c'est pour moi;French;Clase1;c'est pour moi.mp3
c'est important pour moi;French;Clase1;c'est important pour moi.mp3
vraiment;French;Clase1;vraiment.mp3
c'est vraiment important;French;Clase1;c'est vraiment important.mp3
c'est difficile pour tou;French;Clase1;c'est difficile pour tou.mp3
quelque chose;French;Clase1;quelque chose.mp3
c'est quelque chose d'important;French;Clase1;c'est quelque chose d'important.mp3
c'est quelque chose d'important pour moi;French;Clase1;c'est quelque chose d'important pour moi.mp3
ne pas;French;Clase1;ne pas.mp3
ce n'est pas;French;Clase1;ce n'est pas.mp3
ce n'est pas pour moi, c'est pour toi;French;Clase1;ce n'est pas pour moi, c'est pour toi.mp3
ce n'est pas important pour moi;French;Clase1;ce n'est pas important pour moi.mp3
aujourd'hui;French;Clase1;aujourd'hui.mp3
un jour;French;Clase1;un jour.mp3
aujourd'hui c'est un jour important pour moi;French;Clase1;aujourd'hui c'est un jour important pour moi.mp3
facile;French;Clase1;facile.mp3
c'est facile;French;Clase1;c'est facile.mp3
c'est vraiment facile;French;Clase1;c'est vraiment facile.mp3
mais;French;Clase1;mais.mp3
c'est difficile, mais ce n'est pas impossible, c'est vraiment important pour moi;French;Clase1;c'est difficile, mais ce n'est pas impossible, c'est vraiment important pour moi.mp3
maintenant;French;Clase2;maintenant.mp3
c'est impossible maintenant;French;Clase2;c'est impossible maintenant.mp3
parfait;French;Clase2;parfait.mp3
c'est parfait;French;Clase2;c'est parfait.mp3
comme ça;French;Clase2;comme ça.mp3
c'est comme ça;French;Clase2;c'est comme ça.mp3
c'est parfait comme ça;French;Clase2;c'est parfait comme ça.mp3
c'est parfait maintenant;French;Clase2;c'est parfait maintenant.mp3
maintenant c'est parfait comme ça;French;Clase2;maintenant c'est parfait comme ça.mp3
maintenant ce n'est pas important;French;Clase2;maintenant ce n'est pas important.mp3
très;French;Clase2;très.mp3
c'est très important;French;Clase2;c'est très important.mp3
ce n'est pas très important;French;Clase2;ce n'est pas très important.mp3
c'est très important pour moi;French;Clase2;c'est très important pour moi.mp3
aujourd'hui c'est très important pour moi;French;Clase2;aujourd'hui c'est très important pour moi.mp3
nécessaire;French;Clase2;nécessaire.mp3
c'est nécessaire;French;Clase2;c'est nécessaire.mp3
c'est très nécessaire;French;Clase2;c'est très nécessaire.mp3
c'est très nécessaire pour toi;French;Clase2;c'est très nécessaire pour toi.mp3
bon;French;Clase2;bon.mp3
c'est bon;French;Clase2;c'est bon.mp3
ce n'est pas bon;French;Clase2;ce n'est pas bon.mp3
c'est très bon;French;Clase2;c'est très bon.mp3
ce n'est pas très bon;French;Clase2;ce n'est pas très bon.mp3
c'est très bon comme ça;French;Clase2;c'est très bon comme ça.mp3
fantastique;French;Clase2;fantastique.mp3
c'est fantastique;French;Clase2;c'est fantastique.mp3
c'est fantastique pour moi;French;Clase2;c'est fantastique pour moi.mp3
c'est fantastique comme ça;French;Clase2;c'est fantastique comme ça.mp3
ici;French;Clase2;ici.mp3
c'est fantastique ici;French;Clase2;c'est fantastique ici.mp3
c'est quelque chose de fantastique;French;Clase2;c'est quelque chose de fantastique.mp3
c'est pour moi?;French;Clase2;c'est pour moi..mp3
c'est difficile?;French;Clase2;c'est difficile..mp3
c'est difficile comme ça?;French;Clase2;c'est difficile comme ça..mp3
c'est important?;French;Clase2;c'est important..mp3
c'est quelque chose d'important?;French;Clase2;c'est quelque chose d'important..mp3
être;French;Clase2;être.mp3
être ici;French;Clase2;être ici.mp3
c'est important d'être ici;French;Clase2;c'est important d'être ici.mp3
c'est fantastique d'être ici;French;Clase2;c'est fantastique d'être ici.mp3
c'est très difficile d'être ici aujourd'hui;French;Clase2;c'est très difficile d'être ici aujourd'hui.mp3
faire;French;Clase2;faire.mp3
le faire;French;Clase2;le faire.mp3
c'est important de le faire;French;Clase2;c'est important de le faire.mp3
c'est impossible de le faire;French;Clase2;c'est impossible de le faire.mp3
avoir besoin;French;Clase2;avoir besoin.mp3
j'ai besoin;French;Clase2;j'ai besoin.mp3
je n'ai pas besoin;French;Clase2;je n'ai pas besoin.mp3
c'est quelque chose de difficile? non, mais c'est très necessaire de le faire maintenant;French;Clase2;c'est quelque chose de difficile. non, mais c'est très necessaire de le faire maintenant.mp3
j'ai besoin de le faire;French;Clase3;j'ai besoin de le faire.mp3
je n'ai pas besoin de le faire;French;Clase3;je n'ai pas besoin de le faire.mp3
j'ai besoin d'être ici;French;Clase3;j'ai besoin d'être ici.mp3
je n'ai pas besoin d'être ici;French;Clase3;je n'ai pas besoin d'être ici.mp3
je n'ai pas besoin d'être ici aujourd'hui;French;Clase3;je n'ai pas besoin d'être ici aujourd'hui.mp3
j'ai besoin d'être maintenant;French;Clase3;j'ai besoin d'être maintenant.mp3
j'ai besoin d'être ici maintenant;French;Clase3;j'ai besoin d'être ici maintenant.mp3
parce que;French;Clase3;parce que.mp3
parce que c'est très important;French;Clase3;parce que c'est très important.mp3
j'ai besoin de le faire aujourd'hui parce que c'est important;French;Clase3;j'ai besoin de le faire aujourd'hui parce que c'est important.mp3
j'ai besoin d'être ici aujourd'hui parce que c'est important;French;Clase3;j'ai besoin d'être ici aujourd'hui parce que c'est important.mp3
c'est possible;French;Clase3;c'est possible.mp3
ce n'est pas possible;French;Clase3;ce n'est pas possible.mp3
maintenant, ce n'est pas possible;French;Clase3;maintenant, ce n'est pas possible.mp3
savoir;French;Clase3;savoir.mp3
j'ai besoin de savoir;French;Clase3;j'ai besoin de savoir.mp3
si;French;Clase3;si.mp3
oui;French;Clase3;oui.mp3
si c'est possible;French;Clase3;si c'est possible.mp3
si c'est possible pour moi;French;Clase3;si c'est possible pour moi.mp3
j'ai besoin de savoir si c'est possible;French;Clase3;j'ai besoin de savoir si c'est possible.mp3
j'ai besoin de savoir si c'est possible aujourd'hui;French;Clase3;j'ai besoin de savoir si c'est possible aujourd'hui.mp3
j'ai besoin de savoir si c'est possible de le faire aujourd'hui;French;Clase3;j'ai besoin de savoir si c'est possible de le faire aujourd'hui.mp3
j'ai besoin de savoir si c'est possible de le faire maintenant parce que c'est très important;French;Clase3;j'ai besoin de savoir si c'est possible de le faire maintenant parce que c'est très important.mp3
j'ai besoin de savoir si c'est quelque chose d'important;French;Clase3;j'ai besoin de savoir si c'est quelque chose d'important.mp3
je veux;French;Clase3;je veux.mp3
je veux le faire;French;Clase3;je veux le faire.mp3
je veux le faire aujourd'hui;French;Clase3;je veux le faire aujourd'hui.mp3
je ne veux pas;French;Clase3;je ne veux pas.mp3
je ne veux pas le faire comme ça;French;Clase3;je ne veux pas le faire comme ça.mp3
je veux savoir si c'est facile pour moi de le faire aujourd'hui;French;Clase3;je veux savoir si c'est facile pour moi de le faire aujourd'hui.mp3
